S.no,Item Name,Category Name,Menu,Qty,Gross Sales,Net Sales,Taxes,Orders,% Sales,Order Source
178,Cappuccino,Hot Drinks,DRINKS MENU,11,£42.36,£42.36,£0.00,10,0.29%,All
179,Flat White,Hot Drinks,DRINKS MENU,7,£27.25,£27.25,£0.00,6,0.19%,All
180,Hot Chocolate,Hot Drinks,DRINKS MENU,4,£17.00,£17.00,£0.00,3,0.12%,All
181,English Breakfast Tea (Mug),Hot Drinks,DRINKS MENU,7,£19.50,£19.50,£0.00,5,0.14%,All
182,Pork Roulade With Minced Meat Stuffing,Main Roast,SUNDAY ROAST SPECIALS MENU - duplicate,9,£151.60,£151.60,£0.00,8,1.06%,All
183,Turkey Roulade with Bacon with Chestnut and Sage,Main Roast,SUNDAY ROAST SPECIALS MENU - duplicate,10,£172.76,£172.76,£0.00,10,1.20%,All
184,2-Meat Roast,Main Roast,SUNDAY ROAST SPECIALS MENU - duplicate,38,£796.10,£796.10,£0.00,21,5.54%,All
185,3-Meat Roast,Main Roast,SUNDAY ROAST SPECIALS MENU - duplicate,2,£47.90,£47.90,£0.00,2,0.33%,All
186,4-Meat Feast,Main Roast,SUNDAY ROAST SPECIALS MENU - duplicate,3,£80.85,£80.85,£0.00,2,0.56%,All
187,Dite Coke,Soft Drinks,DRINKS MENU,25,£70.41,£70.41,£0.00,17,0.49%,All
188,Coke Original,Soft Drinks,DRINKS MENU,19,£56.05,£56.05,£0.00,15,0.39%,All
189,Coke Zero,Soft Drinks,DRINKS MENU,11,£32.16,£32.16,£0.00,9,0.22%,All
190,Coke Pint,Soft Drinks,DRINKS MENU,14,£82.60,£82.60,£0.00,9,0.58%,All
191,Schweppes Soda Water,Soft Drinks,DRINKS MENU,26,£73.75,£73.75,£0.00,17,0.51%,All
192,Schweppes Tonic Water,Soft Drinks,DRINKS MENU,13,£38.35,£38.35,£0.00,13,0.27%,All
193,Soup of the Day,Starters,FOOD MENU,2,£0.00,£0.00,£0.00,2,0.00%,All
194,Breaded Brie,Starters,FOOD MENU,19,£14.31,£14.31,£0.00,15,0.10%,All
195,Pork Belly Bites,Starters,FOOD MENU,20,£26.85,£26.85,£0.00,17,0.19%,All
196,Olives and Hummus,Starters,FOOD MENU,7,£0.00,£0.00,£0.00,4,0.00%,All
197,Zia Nachos,Starters,FOOD MENU,6,£19.46,£19.46,£0.00,6,0.14%,All
198,Prawn Cocktail,Starters,FOOD MENU,31,£35.80,£35.80,£0.00,20,0.25%,All
