S.no,Product Code,Item Name,Category Name,Menu,Qty,Gross Sales,Net Sales,Taxes,Orders,% Sales,Order Source
19,,Pollo Barbecue 12Inch,Stone-Baked Pizzas 12Inch,Food Menu,13,£183.30,£153.08,£30.22,13,1.11%,All
20,,Margherita 6Inch,Pizzette 6Inch,Food Menu,27,£76.70,£62.93,£12.78,17,0.46%,All
21,,Pepperoni 6Inch,Pizzette 6Inch,Food Menu,4,£7.00,£5.83,£1.17,4,0.04%,All
22,,Zia Special 6Inch,Pizzette 6Inch,Food Menu,8,£27.65,£21.73,£4.61,5,0.17%,All
23,,Pollo Barbecue 6Inch,Pizzette 6Inch,Food Menu,3,£7.90,£6.58,£1.32,3,0.05%,All
24,,Vegetariana 6Inch,Pizzette 6Inch,Food Menu,4,£7.90,£6.58,£1.32,4,0.05%,All
25,,Funghi 6Inch,Pizzette 6Inch,Food Menu,2,£3.50,£2.92,£0.58,2,0.02%,All
26,,Spicy Vodka Rigatoni,Pastas,Food Menu,2,£23.90,£20.25,£3.65,2,0.14%,All
27,,Truffle Mushroom Alfredo,Pastas,Food Menu,6,£53.80,£45.50,£8.30,6,0.33%,All
28,,Chicken Alfredo,Pastas,Food Menu,17,£173.15,£135.01,£28.19,11,1.05%,All
29,,Bolognese (Spaghetti),Pastas,Food Menu,8,£69.65,£58.04,£11.61,7,0.42%,All
30,,Carbonara (Spaghetti),Pastas,Food Menu,12,£124.90,£105.00,£19.90,12,0.76%,All
31,,Penne Arrabbiata,Pastas,Food Menu,7,£71.50,£60.42,£11.08,6,0.43%,All
32,,Dubai Chocolate Tiramisu,Zia Tiramisu,Food Menu,12,£55.60,£46.33,£9.27,10,0.34%,All
33,,Classic Tiramisu,Zia Tiramisu,Food Menu,15,£83.30,£69.42,£13.88,12,0.50%,All
34,,Biscoff Tiramisu,Zia Tiramisu,Food Menu,16,£104.25,£86.88,£17.37,12,0.63%,All
35,,Gelato Cup,Desserts,Food Menu,1,£3.95,£3.29,£0.66,1,0.02%,All
36,,Gluten-Free Tiramisu,Zia Tiramisu,Food Menu,2,£13.00,£10.83,£2.17,2,0.08%,All
37,,Pizzas,Deals,Deals Menu,20,£12.45,£12.45,£0.00,9,0.08%,All
38,,Upgrade,Deals,Deals Menu,15,£9.00,£9.00,£0.00,14,0.05%,All
39,,Aperol Spritz,Zia Signature Spritzes,Drinks,1,£7.95,£6.63,£1.32,1,0.05%,All
40,,Thatchers Gold,Draught,Drinks,4,£23.80,£19.83,£3.97,3,0.14%,All
41,,Peroni Nastro Azzurro (330ml),Bottled Beers and Ciders,Drinks,12,£59.40,£49.50,£9.90,10,0.36%,All
42,,Corona Extra (330ml),Bottled Beers and Ciders,Drinks,3,£14.85,£12.38,£2.47,3,0.09%,All
43,,Doombar Amber Ale (500ml),Bottled Beers and Ciders,Drinks,5,£24.75,£20.63,£4.12,2,0.15%,All
44,,Bulmers Original Cider (500ml),Bottled Beers and Ciders,Drinks,2,£9.90,£8.25,£1.65,1,0.06%,All
45,,Kopparberg Mixed Fruit (500ml),Bottled Beers and Ciders,Drinks,6,£29.70,£24.75,£4.95,4,0.18%,All
46,,Red Wine,House Wines,Drinks,5,£34.50,£28.75,£5.75,5,0.21%,All
47,,White Wine,House Wines,Drinks,1,£7.25,£6.04,£1.21,1,0.04%,All
48,,Pinot Grigio Blush,House Wines,Drinks,3,£62.85,£52.38,£10.47,2,0.38%,All
49,,Prosecco DOC,House Wines,Drinks,1,£22.95,£19.13,£3.82,1,0.14%,All
50,,Coca-Cola,Drinks,Drinks,16,£23.84,£19.37,£3.97,11,0.14%,All
51,,Diet Coke,Drinks,Drinks,10,£14.90,£12.42,£2.48,7,0.09%,All
52,,Coke Zero,Drinks,Drinks,6,£7.91,£6.59,£1.32,4,0.05%,All
53,,Fanta,Drinks,Drinks,5,£5.96,£4.97,£0.99,3,0.04%,All
54,,Sprite,Drinks,Drinks,7,£10.43,£8.69,£1.74,5,0.06%,All
55,,Rio Tropical,Drinks,Drinks,9,£13.41,£9.69,£2.23,7,0.08%,All
56,,San Pellegrino Lemon,Drinks,Drinks,4,£8.76,£7.30,£1.46,4,0.05%,All
57,,Orange Juice,Drinks,Drinks,1,£1.79,£1.49,£0.30,1,0.01%,All
58,,Apple Juice,Drinks,Drinks,2,£3.58,£2.98,£0.60,2,0.02%,All
59,,Still Water (300ml),Drinks,Drinks,1,£1.29,£1.08,£0.21,1,0.01%,All
60,,Sparkling Water (300ml),Drinks,Drinks,1,£1.29,£1.08,£0.21,1,0.01%,All
61,,J2 - Apple and Mango,Drinks,Drinks,12,£27.48,£22.90,£4.58,2,0.17%,All
62,,J2 - Orange and Passionfruit,Drinks,Drinks,3,£6.87,£5.73,£1.14,3,0.04%,All
63,,Cappuccino,Hot Drinks,Drinks,2,£6.50,£5.42,£1.08,1,0.04%,All
64,,Latte,Hot Drinks,Drinks,1,£3.25,£2.71,£0.54,1,0.02%,All
65,,Garlic Focaccia Bread,Sides,Food Menu,26,£75.00,£62.17,£11.67,24,0.45%,All
66,,Dubai Chocolate Tiramisu,Signatures,Third Party Menu,3,£22.77,£22.77,£0.00,3,0.14%,All
